,precision,recall,f1-score,support
A,0.993485342019544,1.0,0.9967320261437909,305.0
B,0.9962962962962963,0.9962962962962963,0.9962962962962963,270.0
C,1.0,1.0,1.0,286.0
D,1.0,1.0,1.0,270.0
E,0.9967637540453075,0.9967637540453075,0.9967637540453075,309.0
F,1.0,1.0,1.0,286.0
G,1.0,1.0,1.0,316.0
H,1.0,1.0,1.0,300.0
I,1.0,0.9964539007092199,0.9982238010657194,282.0
J,1.0,1.0,1.0,278.0
K,0.9967213114754099,0.9967213114754099,0.9967213114754099,305.0
L,1.0,0.9966442953020134,0.9983193277310924,298.0
M,0.9885714285714285,0.9942528735632183,0.991404011461318,348.0
N,1.0,0.9871794871794872,0.9935483870967742,312.0
O,1.0,1.0,1.0,307.0
P,0.9965753424657534,1.0,0.9982847341337907,291.0
Q,1.0,1.0,1.0,265.0
R,0.9967948717948718,0.9936102236421726,0.9952,313.0
S,0.9929824561403509,0.9929824561403509,0.9929824561403509,285.0
T,0.9966442953020134,1.0,0.9983193277310924,297.0
U,0.9929078014184397,1.0,0.9964412811387899,280.0
V,0.9935897435897436,1.0,0.9967845659163987,310.0
W,1.0,0.9967320261437909,0.9983633387888707,306.0
X,0.9966666666666667,0.9933554817275747,0.995008319467554,301.0
Y,1.0,1.0,1.0,318.0
Z,1.0,1.0,1.0,328.0
DEL,1.0,0.996551724137931,0.9982728842832469,290.0
NOTHING,1.0,1.0,1.0,319.0
SPACE,1.0,1.0,1.0,325.0
accuracy,0.997816091954023,0.997816091954023,0.997816091954023,0.997816091954023
macro avg,0.9978620451650284,0.9978463389780265,0.9978505456177863,8700.0
weighted avg,0.9978233486516662,0.997816091954023,0.9978159915740539,8700.0
